iso_code,country,date,owid_weekly_excess_mortality_p_score_15_64
EST,Estonia,2020-02-02,3.51
EST,Estonia,2020-02-09,-12.05
EST,Estonia,2020-02-16,-19.19
EST,Estonia,2020-02-23,2.52
EST,Estonia,2020-03-01,9.38
EST,Estonia,2020-03-08,-3.78
EST,Estonia,2020-03-15,-3.72
EST,Estonia,2020-03-22,-0.36
EST,Estonia,2020-03-29,11.3
EST,Estonia,2020-04-05,-11.55
EST,Estonia,2020-04-12,-7.05
EST,Estonia,2020-04-19,16.28
EST,Estonia,2020-04-26,30.35
EST,Estonia,2020-05-03,12.54
EST,Estonia,2020-05-10,23.73
EST,Estonia,2020-05-17,3.45
EST,Estonia,2020-05-24,3.15
EST,Estonia,2020-05-31,-0.35
EST,Estonia,2020-06-07,-2.53
EST,Estonia,2020-06-14,9.54
EST,Estonia,2020-06-21,-5.08
EST,Estonia,2020-06-28,2.94
EST,Estonia,2020-07-05,32.3
EST,Estonia,2020-07-12,11.94
EST,Estonia,2020-07-19,-24.83
EST,Estonia,2020-07-26,10.17
EST,Estonia,2020-08-02,11.11
EST,Estonia,2020-08-09,7.14
EST,Estonia,2020-08-16,0.33
EST,Estonia,2020-08-23,-6.9
EST,Estonia,2020-08-30,-16.94
EST,Estonia,2020-09-06,30.51
EST,Estonia,2020-09-13,-5.17
EST,Estonia,2020-09-20,23.71
EST,Estonia,2020-09-27,13.72
EST,Estonia,2020-10-04,-19.24
EST,Estonia,2020-10-11,-28.36
EST,Estonia,2020-10-18,-2.56
EST,Estonia,2020-10-25,-17.76
EST,Estonia,2020-11-01,-13.85
EST,Estonia,2020-11-08,-2.99
EST,Estonia,2020-11-15,10.69
EST,Estonia,2020-11-22,16.67
EST,Estonia,2020-11-29,14.79
EST,Estonia,2020-12-06,-13.04
EST,Estonia,2020-12-13,-13.11
EST,Estonia,2020-12-20,10.71
EST,Estonia,2020-12-27,-0.66
EST,Estonia,2021-01-03,12.58
EST,Estonia,2021-01-10,-7.16
EST,Estonia,2021-01-17,-13.74
EST,Estonia,2021-01-24,-12.57
EST,Estonia,2021-01-31,-17.23
FIN,Finland,2020-01-05,-16.05
FIN,Finland,2020-01-12,-17.26
FIN,Finland,2020-01-19,-12.75
FIN,Finland,2020-01-26,-8.53
FIN,Finland,2020-02-02,-12.93
FIN,Finland,2020-02-09,-5.26
FIN,Finland,2020-02-16,-11.76
FIN,Finland,2020-02-23,-10.14
FIN,Finland,2020-03-01,-10.24
FIN,Finland,2020-03-08,-16.16
FIN,Finland,2020-03-15,4.27
FIN,Finland,2020-03-22,-2.49
FIN,Finland,2020-03-29,-7.55
FIN,Finland,2020-04-05,-11.54
FIN,Finland,2020-04-12,1.01
FIN,Finland,2020-04-19,1.36
FIN,Finland,2020-04-26,-9.57
FIN,Finland,2020-05-03,-6.21
FIN,Finland,2020-05-10,-7.26
FIN,Finland,2020-05-17,3.26
FIN,Finland,2020-05-24,2.42
FIN,Finland,2020-05-31,-2.19
FIN,Finland,2020-06-07,-10.96
FIN,Finland,2020-06-14,0.28
FIN,Finland,2020-06-21,0.53
FIN,Finland,2020-06-28,-4.3
FIN,Finland,2020-07-05,-22.92
FIN,Finland,2020-07-12,13.06
FIN,Finland,2020-07-19,4.91
FIN,Finland,2020-07-26,-0.68
FIN,Finland,2020-08-02,3.36
FIN,Finland,2020-08-09,-11.54
FIN,Finland,2020-08-16,6.33
FIN,Finland,2020-08-23,14.81
FIN,Finland,2020-08-30,2.51
FIN,Finland,2020-09-06,-16.78
FIN,Finland,2020-09-13,14.4
FIN,Finland,2020-09-20,0.98
FIN,Finland,2020-09-27,-2.6
FIN,Finland,2020-10-04,-15.45
FIN,Finland,2020-10-11,-5.48
FIN,Finland,2020-10-18,-5.01
FIN,Finland,2020-10-25,0.91
FIN,Finland,2020-11-01,12.47
FIN,Finland,2020-11-08,1.44
FIN,Finland,2020-11-15,-2.08
FIN,Finland,2020-11-22,0.42
FIN,Finland,2020-11-29,-19.01
FIN,Finland,2020-12-06,-11.41
FIN,Finland,2020-12-13,2.75
FIN,Finland,2020-12-20,-8.43
FIN,Finland,2020-12-27,-15.78
FIN,Finland,2021-01-03,-21.75
FIN,Finland,2021-01-10,-27.78
FIN,Finland,2021-01-17,-14.3
FIN,Finland,2021-01-24,-26.36
FRA,France,2020-01-05,-3.85
FRA,France,2020-01-12,-6.69
FRA,France,2020-01-19,-6.18
FRA,France,2020-01-26,-7.57
FRA,France,2020-02-02,-3.67
FRA,France,2020-02-09,-9.05
FRA,France,2020-02-16,-7.14
FRA,France,2020-02-23,-9.35
FRA,France,2020-03-01,-8.54
FRA,France,2020-03-08,-1.16
FRA,France,2020-03-15,-3.31
FRA,France,2020-03-22,3.11
FRA,France,2020-03-29,11.09
FRA,France,2020-04-05,21.82
FRA,France,2020-04-12,12.44
FRA,France,2020-04-19,3.78
FRA,France,2020-04-26,-1.76
FRA,France,2020-05-03,-8.3
FRA,France,2020-05-10,-8.02
FRA,France,2020-05-17,-2.26
FRA,France,2020-05-24,1.78
FRA,France,2020-05-31,-0.25
FRA,France,2020-06-07,-6.97
FRA,France,2020-06-14,-2.86
FRA,France,2020-06-21,-12.15
FRA,France,2020-06-28,-2.9
FRA,France,2020-07-05,-11.26
FRA,France,2020-07-12,-6.61
FRA,France,2020-07-19,-8.5
FRA,France,2020-07-26,-5.39
FRA,France,2020-08-02,-4.3
FRA,France,2020-08-09,-3.31
FRA,France,2020-08-16,8.5
FRA,France,2020-08-23,-5.06
