iso_code,country,date,owid_population_density
AFG,Afghanistan,2020-07-01,54.422
AFG,Afghanistan,2020-07-02,54.422
AFG,Afghanistan,2020-07-03,54.422
AFG,Afghanistan,2020-07-04,54.422
AFG,Afghanistan,2020-07-05,54.422
AFG,Afghanistan,2020-07-06,54.422
AFG,Afghanistan,2020-07-07,54.422
AFG,Afghanistan,2020-07-08,54.422
AFG,Afghanistan,2020-07-09,54.422
AFG,Afghanistan,2020-07-10,54.422
AFG,Afghanistan,2020-07-11,54.422
AFG,Afghanistan,2020-07-12,54.422
AFG,Afghanistan,2020-07-13,54.422
AFG,Afghanistan,2020-07-14,54.422
AFG,Afghanistan,2020-07-15,54.422
AFG,Afghanistan,2020-07-16,54.422
AFG,Afghanistan,2020-07-17,54.422
AFG,Afghanistan,2020-07-18,54.422
AFG,Afghanistan,2020-07-19,54.422
AFG,Afghanistan,2020-07-20,54.422
AFG,Afghanistan,2020-07-21,54.422
AFG,Afghanistan,2020-07-22,54.422
AFG,Afghanistan,2020-07-23,54.422
AFG,Afghanistan,2020-07-24,54.422
AFG,Afghanistan,2020-07-25,54.422
AFG,Afghanistan,2020-07-26,54.422
AFG,Afghanistan,2020-07-27,54.422
AFG,Afghanistan,2020-07-28,54.422
AFG,Afghanistan,2020-07-29,54.422
AFG,Afghanistan,2020-07-30,54.422
AFG,Afghanistan,2020-07-31,54.422
AFG,Afghanistan,2020-08-01,54.422
AFG,Afghanistan,2020-08-02,54.422
AFG,Afghanistan,2020-08-03,54.422
AFG,Afghanistan,2020-08-04,54.422
AFG,Afghanistan,2020-08-05,54.422
AFG,Afghanistan,2020-08-06,54.422
AFG,Afghanistan,2020-08-07,54.422
AFG,Afghanistan,2020-08-08,54.422
AFG,Afghanistan,2020-08-09,54.422
AFG,Afghanistan,2020-08-10,54.422
AFG,Afghanistan,2020-08-11,54.422
AFG,Afghanistan,2020-08-12,54.422
AFG,Afghanistan,2020-08-13,54.422
AFG,Afghanistan,2020-08-14,54.422
AFG,Afghanistan,2020-08-15,54.422
AFG,Afghanistan,2020-08-16,54.422
AFG,Afghanistan,2020-08-17,54.422
AFG,Afghanistan,2020-08-18,54.422
AFG,Afghanistan,2020-08-19,54.422
AFG,Afghanistan,2020-08-20,54.422
AFG,Afghanistan,2020-08-21,54.422
AFG,Afghanistan,2020-08-22,54.422
AFG,Afghanistan,2020-08-23,54.422
AFG,Afghanistan,2020-08-24,54.422
AFG,Afghanistan,2020-08-25,54.422
AFG,Afghanistan,2020-08-26,54.422
AFG,Afghanistan,2020-08-27,54.422
AFG,Afghanistan,2020-08-28,54.422
AFG,Afghanistan,2020-08-29,54.422
AFG,Afghanistan,2020-08-30,54.422
AFG,Afghanistan,2020-08-31,54.422
AFG,Afghanistan,2020-09-01,54.422
AFG,Afghanistan,2020-09-02,54.422
AFG,Afghanistan,2020-09-03,54.422
AFG,Afghanistan,2020-09-04,54.422
AFG,Afghanistan,2020-09-05,54.422
AFG,Afghanistan,2020-09-06,54.422
AFG,Afghanistan,2020-09-07,54.422
AFG,Afghanistan,2020-09-08,54.422
AFG,Afghanistan,2020-09-09,54.422
AFG,Afghanistan,2020-09-10,54.422
AFG,Afghanistan,2020-09-11,54.422
AFG,Afghanistan,2020-09-12,54.422
AFG,Afghanistan,2020-09-13,54.422
AFG,Afghanistan,2020-09-14,54.422
AFG,Afghanistan,2020-09-15,54.422
AFG,Afghanistan,2020-09-16,54.422
AFG,Afghanistan,2020-09-17,54.422
AFG,Afghanistan,2020-09-18,54.422
AFG,Afghanistan,2020-09-19,54.422
AFG,Afghanistan,2020-09-20,54.422
AFG,Afghanistan,2020-09-21,54.422
AFG,Afghanistan,2020-09-22,54.422
AFG,Afghanistan,2020-09-23,54.422
AFG,Afghanistan,2020-09-24,54.422
AFG,Afghanistan,2020-09-25,54.422
