iso_code,country,date,owid_median_age
AGO,Angola,2020-09-06,16.8
AGO,Angola,2020-09-07,16.8
AGO,Angola,2020-09-08,16.8
AGO,Angola,2020-09-09,16.8
AGO,Angola,2020-09-10,16.8
AGO,Angola,2020-09-11,16.8
AGO,Angola,2020-09-12,16.8
AGO,Angola,2020-09-13,16.8
AGO,Angola,2020-09-14,16.8
AGO,Angola,2020-09-15,16.8
AGO,Angola,2020-09-16,16.8
AGO,Angola,2020-09-17,16.8
AGO,Angola,2020-09-18,16.8
AGO,Angola,2020-09-19,16.8
AGO,Angola,2020-09-20,16.8
AGO,Angola,2020-09-21,16.8
AGO,Angola,2020-09-22,16.8
AGO,Angola,2020-09-23,16.8
AGO,Angola,2020-09-24,16.8
AGO,Angola,2020-09-25,16.8
AGO,Angola,2020-09-26,16.8
AGO,Angola,2020-09-27,16.8
AGO,Angola,2020-09-28,16.8
AGO,Angola,2020-09-29,16.8
AGO,Angola,2020-09-30,16.8
AGO,Angola,2020-10-01,16.8
AGO,Angola,2020-10-02,16.8
AGO,Angola,2020-10-03,16.8
AGO,Angola,2020-10-04,16.8
AGO,Angola,2020-10-05,16.8
AGO,Angola,2020-10-06,16.8
AGO,Angola,2020-10-07,16.8
AGO,Angola,2020-10-08,16.8
AGO,Angola,2020-10-09,16.8
AGO,Angola,2020-10-10,16.8
AGO,Angola,2020-10-11,16.8
AGO,Angola,2020-10-12,16.8
AGO,Angola,2020-10-13,16.8
AGO,Angola,2020-10-14,16.8
AGO,Angola,2020-10-15,16.8
AGO,Angola,2020-10-16,16.8
AGO,Angola,2020-10-17,16.8
AGO,Angola,2020-10-18,16.8
AGO,Angola,2020-10-19,16.8
AGO,Angola,2020-10-20,16.8
AGO,Angola,2020-10-21,16.8
AGO,Angola,2020-10-22,16.8
AGO,Angola,2020-10-23,16.8
AGO,Angola,2020-10-24,16.8
AGO,Angola,2020-10-25,16.8
AGO,Angola,2020-10-26,16.8
AGO,Angola,2020-10-27,16.8
AGO,Angola,2020-10-28,16.8
AGO,Angola,2020-10-29,16.8
AGO,Angola,2020-10-30,16.8
AGO,Angola,2020-10-31,16.8
AGO,Angola,2020-11-01,16.8
AGO,Angola,2020-11-02,16.8
AGO,Angola,2020-11-03,16.8
AGO,Angola,2020-11-04,16.8
AGO,Angola,2020-11-05,16.8
AGO,Angola,2020-11-06,16.8
AGO,Angola,2020-11-07,16.8
AGO,Angola,2020-11-08,16.8
AGO,Angola,2020-11-09,16.8
AGO,Angola,2020-11-10,16.8
AGO,Angola,2020-11-11,16.8
AGO,Angola,2020-11-12,16.8
AGO,Angola,2020-11-13,16.8
AGO,Angola,2020-11-14,16.8
AGO,Angola,2020-11-15,16.8
AGO,Angola,2020-11-16,16.8
AGO,Angola,2020-11-17,16.8
AGO,Angola,2020-11-18,16.8
AGO,Angola,2020-11-19,16.8
AGO,Angola,2020-11-20,16.8
AGO,Angola,2020-11-21,16.8
AGO,Angola,2020-11-22,16.8
AGO,Angola,2020-11-23,16.8
AGO,Angola,2020-11-24,16.8
AGO,Angola,2020-11-25,16.8
AGO,Angola,2020-11-26,16.8
AGO,Angola,2020-11-27,16.8
AGO,Angola,2020-11-28,16.8
AGO,Angola,2020-11-29,16.8
AGO,Angola,2020-11-30,16.8
AGO,Angola,2020-12-01,16.8
