iso_code,country,date,owid_handwashing_facilities
AGO,Angola,2020-06-16,26.664
AGO,Angola,2020-06-17,26.664
AGO,Angola,2020-06-18,26.664
AGO,Angola,2020-06-19,26.664
AGO,Angola,2020-06-20,26.664
AGO,Angola,2020-06-21,26.664
AGO,Angola,2020-06-22,26.664
AGO,Angola,2020-06-23,26.664
AGO,Angola,2020-06-24,26.664
AGO,Angola,2020-06-25,26.664
AGO,Angola,2020-06-26,26.664
AGO,Angola,2020-06-27,26.664
AGO,Angola,2020-06-28,26.664
AGO,Angola,2020-06-29,26.664
AGO,Angola,2020-06-30,26.664
AGO,Angola,2020-07-01,26.664
AGO,Angola,2020-07-02,26.664
AGO,Angola,2020-07-03,26.664
AGO,Angola,2020-07-04,26.664
AGO,Angola,2020-07-05,26.664
AGO,Angola,2020-07-06,26.664
AGO,Angola,2020-07-07,26.664
AGO,Angola,2020-07-08,26.664
AGO,Angola,2020-07-09,26.664
AGO,Angola,2020-07-10,26.664
AGO,Angola,2020-07-11,26.664
AGO,Angola,2020-07-12,26.664
AGO,Angola,2020-07-13,26.664
AGO,Angola,2020-07-14,26.664
AGO,Angola,2020-07-15,26.664
AGO,Angola,2020-07-16,26.664
AGO,Angola,2020-07-17,26.664
AGO,Angola,2020-07-18,26.664
AGO,Angola,2020-07-19,26.664
AGO,Angola,2020-07-20,26.664
AGO,Angola,2020-07-21,26.664
AGO,Angola,2020-07-22,26.664
AGO,Angola,2020-07-23,26.664
AGO,Angola,2020-07-24,26.664
AGO,Angola,2020-07-25,26.664
AGO,Angola,2020-07-26,26.664
AGO,Angola,2020-07-27,26.664
AGO,Angola,2020-07-28,26.664
AGO,Angola,2020-07-29,26.664
AGO,Angola,2020-07-30,26.664
AGO,Angola,2020-07-31,26.664
AGO,Angola,2020-08-01,26.664
AGO,Angola,2020-08-02,26.664
AGO,Angola,2020-08-03,26.664
AGO,Angola,2020-08-04,26.664
AGO,Angola,2020-08-05,26.664
AGO,Angola,2020-08-06,26.664
AGO,Angola,2020-08-07,26.664
AGO,Angola,2020-08-08,26.664
AGO,Angola,2020-08-09,26.664
AGO,Angola,2020-08-10,26.664
AGO,Angola,2020-08-11,26.664
AGO,Angola,2020-08-12,26.664
AGO,Angola,2020-08-13,26.664
AGO,Angola,2020-08-14,26.664
AGO,Angola,2020-08-15,26.664
AGO,Angola,2020-08-16,26.664
AGO,Angola,2020-08-17,26.664
AGO,Angola,2020-08-18,26.664
AGO,Angola,2020-08-19,26.664
AGO,Angola,2020-08-20,26.664
AGO,Angola,2020-08-21,26.664
AGO,Angola,2020-08-22,26.664
AGO,Angola,2020-08-23,26.664
AGO,Angola,2020-08-24,26.664
AGO,Angola,2020-08-25,26.664
AGO,Angola,2020-08-26,26.664
AGO,Angola,2020-08-27,26.664
AGO,Angola,2020-08-28,26.664
AGO,Angola,2020-08-29,26.664
AGO,Angola,2020-08-30,26.664
AGO,Angola,2020-08-31,26.664
AGO,Angola,2020-09-01,26.664
AGO,Angola,2020-09-02,26.664
AGO,Angola,2020-09-03,26.664
AGO,Angola,2020-09-04,26.664
AGO,Angola,2020-09-05,26.664
AGO,Angola,2020-09-06,26.664
AGO,Angola,2020-09-07,26.664
AGO,Angola,2020-09-08,26.664
AGO,Angola,2020-09-09,26.664
AGO,Angola,2020-09-10,26.664
AGO,Angola,2020-09-11,26.664
AGO,Angola,2020-09-12,26.664
AGO,Angola,2020-09-13,26.664
AGO,Angola,2020-09-14,26.664
AGO,Angola,2020-09-15,26.664
AGO,Angola,2020-09-16,26.664
AGO,Angola,2020-09-17,26.664
AGO,Angola,2020-09-18,26.664
AGO,Angola,2020-09-19,26.664
AGO,Angola,2020-09-20,26.664
AGO,Angola,2020-09-21,26.664
AGO,Angola,2020-09-22,26.664
AGO,Angola,2020-09-23,26.664
AGO,Angola,2020-09-24,26.664
AGO,Angola,2020-09-25,26.664
AGO,Angola,2020-09-26,26.664
AGO,Angola,2020-09-27,26.664
AGO,Angola,2020-09-28,26.664
AGO,Angola,2020-09-29,26.664
AGO,Angola,2020-09-30,26.664
AGO,Angola,2020-10-01,26.664
AGO,Angola,2020-10-02,26.664
AGO,Angola,2020-10-03,26.664
AGO,Angola,2020-10-04,26.664
AGO,Angola,2020-10-05,26.664
AGO,Angola,2020-10-06,26.664
AGO,Angola,2020-10-07,26.664
AGO,Angola,2020-10-08,26.664
AGO,Angola,2020-10-09,26.664
AGO,Angola,2020-10-10,26.664
AGO,Angola,2020-10-11,26.664
AGO,Angola,2020-10-12,26.664
AGO,Angola,2020-10-13,26.664
AGO,Angola,2020-10-14,26.664
AGO,Angola,2020-10-15,26.664
AGO,Angola,2020-10-16,26.664
AGO,Angola,2020-10-17,26.664
AGO,Angola,2020-10-18,26.664
AGO,Angola,2020-10-19,26.664
AGO,Angola,2020-10-20,26.664
AGO,Angola,2020-10-21,26.664
AGO,Angola,2020-10-22,26.664
AGO,Angola,2020-10-23,26.664
AGO,Angola,2020-10-24,26.664
AGO,Angola,2020-10-25,26.664
AGO,Angola,2020-10-26,26.664
AGO,Angola,2020-10-27,26.664
AGO,Angola,2020-10-28,26.664
AGO,Angola,2020-10-29,26.664
AGO,Angola,2020-10-30,26.664
AGO,Angola,2020-10-31,26.664
AGO,Angola,2020-11-01,26.664
AGO,Angola,2020-11-02,26.664
