iso_code,country,date,google_mobility_change_retail_and_recreation
AFG,Afghanistan,2020-10-05,40.0
AFG,Afghanistan,2020-10-06,39.0
AFG,Afghanistan,2020-10-07,40.0
AFG,Afghanistan,2020-10-08,42.0
AFG,Afghanistan,2020-10-09,37.0
AFG,Afghanistan,2020-10-10,26.0
AFG,Afghanistan,2020-10-11,46.0
AFG,Afghanistan,2020-10-12,48.0
AFG,Afghanistan,2020-10-13,45.0
AFG,Afghanistan,2020-10-14,45.0
AFG,Afghanistan,2020-10-15,43.0
AFG,Afghanistan,2020-10-16,37.0
AFG,Afghanistan,2020-10-17,24.0
AFG,Afghanistan,2020-10-18,42.0
AFG,Afghanistan,2020-10-19,43.0
AFG,Afghanistan,2020-10-20,37.0
AFG,Afghanistan,2020-10-21,41.0
AFG,Afghanistan,2020-10-22,47.0
AFG,Afghanistan,2020-10-23,41.0
AFG,Afghanistan,2020-10-24,30.0
AFG,Afghanistan,2020-10-25,50.0
AFG,Afghanistan,2020-10-26,51.0
AFG,Afghanistan,2020-10-27,50.0
AFG,Afghanistan,2020-10-28,47.0
AFG,Afghanistan,2020-10-29,15.0
AFG,Afghanistan,2020-10-30,33.0
AFG,Afghanistan,2020-10-31,25.0
AFG,Afghanistan,2020-11-01,44.0
AFG,Afghanistan,2020-11-02,48.0
AFG,Afghanistan,2020-11-03,39.0
AFG,Afghanistan,2020-11-04,40.0
AFG,Afghanistan,2020-11-05,36.0
AFG,Afghanistan,2020-11-06,24.0
AFG,Afghanistan,2020-11-07,19.0
AFG,Afghanistan,2020-11-08,37.0
AFG,Afghanistan,2020-11-09,37.0
AFG,Afghanistan,2020-11-10,37.0
AFG,Afghanistan,2020-11-11,35.0
AFG,Afghanistan,2020-11-12,37.0
AFG,Afghanistan,2020-11-13,29.0
AFG,Afghanistan,2020-11-14,19.0
AFG,Afghanistan,2020-11-15,38.0
AFG,Afghanistan,2020-11-16,43.0
AFG,Afghanistan,2020-11-17,43.0
AFG,Afghanistan,2020-11-18,43.0
AFG,Afghanistan,2020-11-19,22.0
AFG,Afghanistan,2020-11-20,26.0
AFG,Afghanistan,2020-11-21,21.0
AFG,Afghanistan,2020-11-22,42.0
AFG,Afghanistan,2020-11-23,38.0
AFG,Afghanistan,2020-11-24,38.0
AFG,Afghanistan,2020-11-25,41.0
AFG,Afghanistan,2020-11-26,42.0
AFG,Afghanistan,2020-11-27,32.0
AFG,Afghanistan,2020-11-28,25.0
AFG,Afghanistan,2020-11-29,44.0
AFG,Afghanistan,2020-11-30,41.0
AFG,Afghanistan,2020-12-01,40.0
AFG,Afghanistan,2020-12-02,42.0
AFG,Afghanistan,2020-12-03,41.0
AFG,Afghanistan,2020-12-04,35.0
AFG,Afghanistan,2020-12-05,28.0
AFG,Afghanistan,2020-12-06,46.0
AFG,Afghanistan,2020-12-07,40.0
AGO,Angola,2020-02-15,3.0
AGO,Angola,2020-02-16,-4.0
AGO,Angola,2020-02-17,-6.0
AGO,Angola,2020-02-18,-3.0
AGO,Angola,2020-02-19,-10.0
AGO,Angola,2020-02-20,-4.0
AGO,Angola,2020-02-21,-2.0
AGO,Angola,2020-02-22,0.0
AGO,Angola,2020-02-23,-1.0
AGO,Angola,2020-02-24,-9.0
AGO,Angola,2020-02-25,-17.0
AGO,Angola,2020-02-26,-3.0
AGO,Angola,2020-02-27,2.0
AGO,Angola,2020-02-28,6.0
AGO,Angola,2020-02-29,7.0
AGO,Angola,2020-03-01,5.0
AGO,Angola,2020-03-02,6.0
AGO,Angola,2020-03-03,4.0
AGO,Angola,2020-03-04,7.0
AGO,Angola,2020-03-05,5.0
AGO,Angola,2020-03-06,6.0
AGO,Angola,2020-03-07,7.0
AGO,Angola,2020-03-08,5.0
AGO,Angola,2020-03-09,0.0
AGO,Angola,2020-03-10,1.0
AGO,Angola,2020-03-11,1.0
AGO,Angola,2020-03-12,1.0
AGO,Angola,2020-03-13,2.0
AGO,Angola,2020-03-14,2.0
AGO,Angola,2020-03-15,-5.0
AGO,Angola,2020-03-16,-4.0
AGO,Angola,2020-03-17,-6.0
